[rank 20] 	COMPRESSION TIME: 0.09705162048339844 
[rank 19] 	COMPRESSION TIME: 0.16475605964660645 
[rank 28] 	COMPRESSION TIME: 0.17900657653808594 
[rank 26] 	COMPRESSION TIME: 0.04037070274353027 
[rank 10] 	COMPRESSION TIME: 0.12339997291564941 
[rank 29] 	COMPRESSION TIME: 0.20834851264953613 
[rank 15] 	COMPRESSION TIME: 0.20226526260375977 
[rank 16] 	COMPRESSION TIME: 0.24228668212890625 
[rank 30] 	COMPRESSION TIME: 0.10901975631713867 
[rank 27] 	COMPRESSION TIME: 0.20674371719360352 
[rank 10] 	COMPRESSION TIME: 0.10501265525817871 
[rank 6] 	COMPRESSION TIME: 0.20474934577941895 
[rank 3] 	COMPRESSION TIME: 0.2021327018737793 
[rank 31] 	COMPRESSION TIME: 0.15436458587646484 
[rank 13] 	COMPRESSION TIME: 0.21961688995361328 
[rank 21] 	COMPRESSION TIME: 0.10274028778076172 
[rank 17] 	COMPRESSION TIME: 0.2573869228363037 
[rank 25] 	COMPRESSION TIME: 0.185896635055542 
[rank 11] 	COMPRESSION TIME: 0.20926952362060547 
[rank 7] 	COMPRESSION TIME: 0.1986713409423828 
[rank 2] 	COMPRESSION TIME: 0.1732177734375 
[rank 28] 	COMPRESSION TIME: 0.12524008750915527 
[rank 14] 	COMPRESSION TIME: 0.17636847496032715 
[rank 20] 	COMPRESSION TIME: 0.09438633918762207 
[rank 19] 	COMPRESSION TIME: 0.24188947677612305 
[rank 24] 	COMPRESSION TIME: 0.03869771957397461 
[rank 9] 	COMPRESSION TIME: 0.0569310188293457 
[rank 5] 	COMPRESSION TIME: 0.1580057144165039 
[rank 1] 	COMPRESSION TIME: 0.10047197341918945 
[rank 12] 	COMPRESSION TIME: 0.19639015197753906 
[rank 22] 	COMPRESSION TIME: 0.16817927360534668 
[rank 18] 	COMPRESSION TIME: 0.24672365188598633 
[rank 26] 	COMPRESSION TIME: 0.027451038360595703 
[rank 8] 	COMPRESSION TIME: 0.146378755569458 
[rank 4] 	COMPRESSION TIME: 0.1887209415435791 
[rank 0] 	COMPRESSION TIME: 0.21665620803833008 
[rank 23] 	COMPRESSION TIME: 0.15950942039489746 
[rank 9] 	COMPRESSION TIME: 0.2588510513305664 
[rank 7] 	COMPRESSION TIME: 0.22521758079528809 
[rank 0] 	COMPRESSION TIME: 0.22157692909240723 
[rank 25] 	COMPRESSION TIME: 0.10272479057312012 
[rank 28] 	COMPRESSION TIME: 0.25168871879577637 
[rank 12] 	COMPRESSION TIME: 0.1814558506011963 
[rank 18] 	COMPRESSION TIME: 0.20567631721496582 
[rank 21] 	COMPRESSION TIME: 0.22360944747924805 
[rank 11] 	COMPRESSION TIME: 0.23012208938598633 
[rank 6] 	COMPRESSION TIME: 0.11701321601867676 
[rank 3] 	COMPRESSION TIME: 0.25108885765075684 
